distinct_reactions,total_voter_comments,distinct_voter_comments,num_respondents,avg_distinct_votes,avg_votes,num_qfa_total,num_qfa_distinct_voters,qfa_question_upvotes,label
0.0,0.0,0.0,0.373333333,0.23047619,0.76,0.0,0.0,0.0,0.0
0.0,0.005952381,0.005952381,0.273809524,0.157738095,0.537414966,0.0,0.0,0.0,0.0
0.0,0.014925373,0.014925373,0.223880597,0.139303483,0.449751244,0.0,0.0,0.0,0.0
0.939393939,3.787878788,1.0,0.575757576,0.171717172,0.171717172,1.818181818,0.575757576,0.0,1.0
1.0,0.006535948,0.006535948,0.85620915,0.621848739,0.621848739,0.0,0.0,0.0,1.0
0.025,0.0,0.0,0.425,0.278571429,0.278571429,0.0,0.0,0.0,0.0
0.084210526,0.0,0.0,0.968421053,0.721052632,0.721052632,0.052631579,0.042105263,0.021052632,1.0
0.057142857,0.0,0.0,0.371428571,0.247619048,0.266666667,0.2,0.171428571,0.028571429,0.0
0.166666667,0.061403509,0.061403509,0.675438596,0.50877193,0.50877193,0.192982456,0.149122807,0.096491228,0.0
0.0,0.0,0.0,0.815789474,0.802631579,0.868421053,0.0,0.0,0.0,1.0
0.0,1.11627907,0.76744186,0.372093023,0.19255814,0.230697674,0.395348837,0.162790698,0.0,1.0
0.054545455,1.8,0.981818182,0.290909091,0.185123967,0.22231405,0.654545455,0.290909091,0.0,1.0
0.6,0.146153846,0.146153846,0.746153846,0.190335306,0.193491124,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.540540541,0.303303303,0.312312312,1.189189189,0.351351351,0.081081081,0.0
0.162790698,0.046511628,0.046511628,0.581395349,0.463953488,0.463953488,0.0,0.0,0.0,0.0
0.296703297,0.06043956,0.06043956,0.642857143,0.399267399,0.436507937,0.027472527,0.027472527,0.0,0.0
0.0,0.0,0.0,0.15,0.098051948,0.122727273,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.313253012,0.221686747,0.284337349,0.0,0.0,0.0,0.0
0.0,0.615384615,0.276923077,0.692307692,0.520512821,0.546153846,0.0,0.0,0.0,0.0
0.285714286,0.317460317,0.301587302,0.603174603,0.24829932,0.272108844,0.015873016,0.015873016,0.0,0.0
0.025,0.0,0.0,0.475,0.266666667,0.758333333,0.0,0.0,0.0,0.0
0.864864865,0.189189189,0.189189189,0.702702703,0.255855856,0.257657658,0.189189189,0.135135135,0.0,0.0
0.0,0.0,0.0,0.672131148,0.357581967,1.014344262,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.032258065,0.032258065,0.032258065,0.0,0.0,0.0,0.0
